fit_compliance,capacity,median_wait_time,final_waitlist_size
1,0.5,181.5,60506
1,0.6,181.5,48826
1,0.7,181.5,37146
1,0.8,181.5,25466
1,0.9,147,14151
1,1,113,2471
1,1.1,94,0
1,1.2,81.1650960920379,0
1,1.3,70.6105082530994,0
1,1.4,63,0
1,1.5,56,0
0.9,0.5,181.5,55620
0.9,0.6,181.5,43940
0.9,0.7,181.5,32260
0.9,0.8,177,20580
0.9,0.9,137.124637826229,9265
0.9,1,108,0
0.9,1.1,92.3030266030692,0
0.9,1.2,80,0
0.9,1.3,70,0
0.9,1.4,63,0
0.9,1.5,57,0
0.8,0.5,181.5,50733
0.8,0.6,181.5,39053
0.8,0.7,181.5,27373
0.8,0.8,168,15693
0.8,0.9,129,4378
0.8,1,105,0
0.8,1.1,90.5891534581315,0
0.8,1.2,79,0
0.8,1.3,71,0
0.8,1.4,63,0
0.8,1.5,57,0
0.7,0.5,181.5,45847
0.7,0.6,181.5,34167
0.7,0.7,181.5,22487
0.7,0.8,157.997915199143,10807
0.7,0.9,121,0
0.7,1,103.125100243371,0
0.7,1.1,89.302319885348,0
0.7,1.2,79,0
0.7,1.3,70.9111803306732,0
0.7,1.4,64,0
0.7,1.5,58,0
0.6,0.5,181.5,40960
0.6,0.6,181.5,29280
0.6,0.7,181.5,17600
0.6,0.8,148,5920
0.6,0.9,118.814703680575,0
0.6,1,102,0
0.6,1.1,90,0
0.6,1.2,80,0
0.6,1.3,72,0
0.6,1.4,65,0
0.6,1.5,59.8521900067572,0
0.5,0.5,181.5,36074
0.5,0.6,181.5,24394
0.5,0.7,181.5,12714
0.5,0.8,138,1034
0.5,0.9,117,0
0.5,1,102,0
0.5,1.1,90,0
0.5,1.2,80,0
0.5,1.3,73,0
0.5,1.4,66,0
0.5,1.5,61,0
